metric_id,section,value,unit,status,as_of,date_checked,geographic_scope,source_name,source_url,definition,notes
recognised_nsf_2025,Governance,"Indian Pickleball Association listed",institutional_record,verified,2025,2026-08-16,India,"Ministry of Youth Affairs and Sports","https://yas.gov.in/en/sports/list-of-recognised-national-sports-federations-for-the-year-2025?page=1","The Ministry's 2025 recognised-NSF list includes Indian Pickleball Association.","This record describes the Ministry's 2025 list. It is not a count of players, courts or events."
ipa_players_claim,Institutional claims,50000,players,reported,2026,2026-08-16,India,"Indian Pickleball Association","https://www.ipaofficial.com/","IPA homepage statement.","First-party claim; not independently verified or treated as a national participation estimate."
ipa_states_claim,Institutional claims,27,states,reported,2026,2026-08-16,India,"Indian Pickleball Association","https://www.ipaofficial.com/","IPA homepage statement.","First-party claim; methodology and underlying roster were not independently audited for this report."
ipa_ranking_tournaments_claim,Institutional claims,"100+",tournaments,reported,2026,2026-08-16,India,"Indian Pickleball Association","https://www.ipaofficial.com/","IPA homepage statement.","First-party claim; does not represent every tournament in India."
aipa_players_claim,Institutional claims,10000,players,reported,2025,2026-08-16,India,"All India Pickleball Association","https://www.pickleball.in/newwebsite/index_gsl.php","AIPA website statement about active players.","First-party claim; not independently verified or treated as a national participation estimate."
aipa_states_claim,Institutional claims,24,states,reported,2025,2026-08-16,India,"All India Pickleball Association","https://pickleball.in/","AIPA website statement.","First-party claim; methodology and underlying roster were not independently audited for this report."
verified_hyderabad_venues,Infrastructure,3,venue_records,verified,2026-08-16,2026-08-16,"Hyderabad only","Pickleball Gyan","https://pickleballgyan.in/data/venues/hyderabad-verified.json","Direct venue or operator webpages checked by Pickleball Gyan.","A pilot data collection, not a count of all Hyderabad or Indian venues."
hyderabad_research_leads,Infrastructure,18,venue_leads,reported,2026-08-16,2026-08-16,"Hyderabad only","Pickleball Gyan","https://pickleballgyan.in/data/venues/hyderabad-platform-leads.csv","Identifiable platform and desk-research leads.","Research leads are not public verified directory records."
direct_paddle_listings,Gear market,7,product_listings,verified,2026-08-16,2026-08-16,India,"Pickleball Gyan","https://pickleballgyan.in/data/gear/india-price-check-2026-08-16.json","Direct seller or manufacturer listings with a visible listed price.","Selected sample only; not a market-size measure, recommendation, stock guarantee or checkout-price feed."
observed_paddle_price_low,Gear market,999,INR,verified,2026-08-16,2026-08-16,India,"Pickleball Gyan","https://pickleballgyan.in/data/gear/india-price-check-2026-08-16.json","Lowest listed price in the seven-product selected sample.","A Pickleball Gyan calculation from the sample, not a nationwide price floor."
observed_paddle_price_high,Gear market,7290,INR,verified,2026-08-16,2026-08-16,India,"Pickleball Gyan","https://pickleballgyan.in/data/gear/india-price-check-2026-08-16.json","Highest listed price in the seven-product selected sample.","A Pickleball Gyan calculation from the sample, not a nationwide price ceiling."
