name,city,state,status,verification_status,date_checked,source_url,source_type,court_type,editor_notes,updated_at
FerroHub Sports | Millers,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
Klutch JC Road,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
The Pickl Club - Chamrajpet,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
Pickle And Play Basavangudi,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
PlayPro Pickleball Arena,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
PLAY4ALL ARENA,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
Machaxi Koramangala,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bengaluru/sports/pickleball,booking_platform,unknown,"Current Playo pickleball listing reviewed; details not independently verified.",2026-08-16
Backyard Pickleball,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/kothanur-bengaluru/backyard-pickleball-kothanur-bengaluru,booking_platform,unknown,"Current Playo venue listing reviewed; details not independently verified.",2026-08-16
Play Pickle Yeshwanthpur,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/yeswanthpur-bengaluru/play-pickle-yeshwanthpur-yeswanthpur-bengaluru,booking_platform,unknown,"Current Playo venue listing reviewed; details not independently verified.",2026-08-16
Coliseo Nice Road,Bengaluru,Karnataka,unknown,reported,2026-08-16,https://playo.co/venues/bannerghatta-road-bengaluru/coliseo-nice-road-bannerghatta-road-bengaluru,booking_platform,unknown,"Current Playo venue listing reviewed; details not independently verified.",2026-08-16
