name,city,state,status,verification_status,date_checked,source_url,source_type,court_type,editor_notes,updated_at
The Rooftop Pickleball,Secunderabad,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/hyderabad/the-rooftop-pickleball-sarojini-devi-road-hyderabad,booking_platform,unknown,"Current booking-platform listing reviewed. Court type, price, operating status and other fields are not independently verified.",2026-08-16
NVK Sports Arena,Kondapur,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/Kondapur/nvk-sports-arena-kondapur-hyderabad,booking_platform,unknown,"Current multi-sport booking-platform listing reviewed. Pickleball details are not independently verified.",2026-08-16
BSporty,Madhapur,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/madhapur-hyderabad/bsporty-madhapur-hyderabad,booking_platform,unknown,"Current multi-sport booking-platform listing reviewed. Pickleball details are not independently verified.",2026-08-16
Dink It! Pickleball,Financial District,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/financial-district-hyderabad/dink-it%21-pickleball-financial-district-hyderabad,booking_platform,unknown,"The booking platform describes this as a dedicated pickleball venue; that court classification is not independently verified.",2026-08-16
Shoreline Sports Hub,Kompally,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/kompally/shoreline-sports-hub-kompally-hyderabad,booking_platform,unknown,"Current multi-sport booking-platform listing reviewed. Pickleball details are not independently verified.",2026-08-16
Machaxi SSSC Sports Health & Fitness Club,Osman Nagar,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/osman-nagar-hyderabad/machaxi-sssc-sports-health-fitness-club-osman-nagar-hyderabad,booking_platform,unknown,"Current multi-sport booking-platform listing reviewed. Pickleball details are not independently verified.",2026-08-16
Sporthood Topshot Arena,Kondapur,Telangana,unknown,reported,2026-08-16,https://playo.co/venues/kondapur-hyderabad/sporthood-topshot-arena-kondapur-hyderabad,booking_platform,unknown,"Current booking-platform listing reviewed. Court type, price, operating status and other fields are not independently verified.",2026-08-16
The Kitchen,Jubilee Hills,Telangana,unknown,reported,2026-08-16,https://blog.playo.co/top-10-pickleball-venues-in-hyderabad/,booking_platform,unknown,"Editorial platform list only; find current primary venue source before publication.",2026-08-16
SOO Coffee & Pickleball,Jubilee Hills,Telangana,unknown,reported,2026-08-16,https://blog.playo.co/top-10-pickleball-venues-in-hyderabad/,booking_platform,unknown,"Editorial platform list only; find current primary venue source before publication.",2026-08-16
Racket Garden,Jubilee Hills,Telangana,unknown,reported,2026-08-16,https://blog.playo.co/top-10-pickleball-venues-in-hyderabad/,booking_platform,unknown,"Editorial platform list only; find current primary venue source before publication.",2026-08-16
48Pickle Park,Kondapur,Telangana,unknown,reported,2026-08-16,https://blog.playo.co/top-10-pickleball-venues-in-hyderabad/,booking_platform,unknown,"Editorial platform list only; find current primary venue source before publication.",2026-08-16
Pickleball Collective - Kavuri Hills,Madhapur,Telangana,unknown,reported,2026-08-16,https://blog.playo.co/top-10-pickleball-venues-in-hyderabad/,booking_platform,unknown,"Editorial platform list only; find current primary venue source before publication.",2026-08-16
